"","data2.District.Name","data2.School.Name","data2.Population","data2.Disaggregated","data2.Assessment","data2.Achievement.Level"
"62959","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","Well Below State Expectations"
"62960","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"62961","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","Well Below State Expectations"
"62962","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"62963","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"62964","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"62965","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","Well Below State Expectations"
"62966","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"62967","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"62968","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","Well Below State Expectations"
"62969","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","Well Below State Expectations"
"62970","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","Well Below State Expectations"
"62971","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","Well Below State Expectations"
"63160","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"63161","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","Well Below State Expectations"
"63162","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","Below State Expectations"
"63163","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63164","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","Below State Expectations"
"63165","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63166","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63167","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63168","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","Below State Expectations"
"63169","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63170","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63171","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","Below State Expectations"
"63172","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","Below State Expectations"
"63173","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","Below State Expectations"
"63174","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","Below State Expectations"
"63175","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63176","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","Below State Expectations"
"63177","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","At State Expectations"
"63178","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"63179","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","At State Expectations"
"63180","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"63181","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"63182","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"63183","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","At State Expectations"
"63184","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"63185","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"63186","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","At State Expectations"
"63187","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","At State Expectations"
"63188","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","At State Expectations"
"63362","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","At State Expectations"
"63363","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"63364","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","At State Expectations"
"63365","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","Above State Expectations"
"63366","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"63367","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","Above State Expectations"
"63368","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"63369","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"63370","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"63371","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","Above State Expectations"
"63372","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"63373","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"63374","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","Above State Expectations"
"63375","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","Above State Expectations"
"63376","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","Above State Expectations"
"63377","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","Above State Expectations"
"63378","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"63379","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","Above State Expectations"
"63380","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","At or Above State Expectations"
"63381","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"63382","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","At or Above State Expectations"
"63383","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"63384","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"63385","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"63386","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","At or Above State Expectations"
"63387","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"63388","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"63389","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","At or Above State Expectations"
"63390","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","At or Above State Expectations"
"63391","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","At or Above State Expectations"
"63559","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","At or Above State Expectations"
"63560","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"63561","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","At or Above State Expectations"
"63562","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","Below or Well Below State Expectations"
"63563","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"63564","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","Below or Well Below State Expectations"
"63565","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"63566","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"63567","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"63568","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","Below or Well Below State Expectations"
"63569","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"63570","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"63571","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","Below or Well Below State Expectations"
"63572","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","Below or Well Below State Expectations"
"63573","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","Below or Well Below State Expectations"
"63574","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","Below or Well Below State Expectations"
"63575","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"63576","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","Below or Well Below State Expectations"
"63577","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","English Language Arts","Well Below State Expectations"
"63578","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"63579","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","English Language Arts","Well Below State Expectations"
"63580","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"63581","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"63582","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"63583","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","English Language Arts","Well Below State Expectations"
"63584","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"63585","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"63586","Lewiston Public Schools","Farwell Elementary School","Female","Sex","English Language Arts","Well Below State Expectations"
"63773","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","English Language Arts","Well Below State Expectations"
"63774","Lewiston Public Schools","Farwell Elementary School","Male","Sex","English Language Arts","Well Below State Expectations"
"63775","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","English Language Arts","Well Below State Expectations"
"63776","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"63777","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","English Language Arts","Well Below State Expectations"
"63778","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","English Language Arts","Below State Expectations"
"63779","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"63780","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","English Language Arts","Below State Expectations"
"63781","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"63782","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"63783","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"63784","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","English Language Arts","Below State Expectations"
"63785","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"63786","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"63787","Lewiston Public Schools","Farwell Elementary School","Female","Sex","English Language Arts","Below State Expectations"
"63788","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","English Language Arts","Below State Expectations"
"63789","Lewiston Public Schools","Farwell Elementary School","Male","Sex","English Language Arts","Below State Expectations"
"63790","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","English Language Arts","Below State Expectations"
"63791","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"63792","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","English Language Arts","Below State Expectations"
"63793","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","English Language Arts","At State Expectations"
"63794","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"63795","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","English Language Arts","At State Expectations"
"63796","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"63797","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"63798","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"64004","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","English Language Arts","At State Expectations"
"64005","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"64006","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"64007","Lewiston Public Schools","Farwell Elementary School","Female","Sex","English Language Arts","At State Expectations"
"64008","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","English Language Arts","At State Expectations"
"64009","Lewiston Public Schools","Farwell Elementary School","Male","Sex","English Language Arts","At State Expectations"
"64010","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","English Language Arts","At State Expectations"
"64011","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"64012","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","English Language Arts","At State Expectations"
"64013","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","English Language Arts","Above State Expectations"
"64014","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"64015","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","English Language Arts","Above State Expectations"
"64016","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"64017","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"64018","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"64019","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","English Language Arts","Above State Expectations"
"64020","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"64021","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"64022","Lewiston Public Schools","Farwell Elementary School","Female","Sex","English Language Arts","Above State Expectations"
"64023","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","English Language Arts","Above State Expectations"
"64024","Lewiston Public Schools","Farwell Elementary School","Male","Sex","English Language Arts","Above State Expectations"
"64025","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","English Language Arts","Above State Expectations"
"64026","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"64027","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","English Language Arts","Above State Expectations"
"64028","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","English Language Arts","At or Above State Expectations"
"64029","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"64030","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","English Language Arts","At or Above State Expectations"
"64031","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"64208","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"64209","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"64210","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","English Language Arts","At or Above State Expectations"
"64211","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"64212","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"64213","Lewiston Public Schools","Farwell Elementary School","Female","Sex","English Language Arts","At or Above State Expectations"
"64214","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","English Language Arts","At or Above State Expectations"
"64215","Lewiston Public Schools","Farwell Elementary School","Male","Sex","English Language Arts","At or Above State Expectations"
"64216","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","English Language Arts","At or Above State Expectations"
"64217","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"64218","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","English Language Arts","At or Above State Expectations"
"64219","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","English Language Arts","Below or Well Below State Expectations"
"64220","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"64221","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","English Language Arts","Below or Well Below State Expectations"
"64222","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"64223","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"64224","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"64225","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","English Language Arts","Below or Well Below State Expectations"
"64226","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"64227","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"64228","Lewiston Public Schools","Farwell Elementary School","Female","Sex","English Language Arts","Below or Well Below State Expectations"
"64229","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","English Language Arts","Below or Well Below State Expectations"
"64230","Lewiston Public Schools","Farwell Elementary School","Male","Sex","English Language Arts","Below or Well Below State Expectations"
"64231","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","English Language Arts","Below or Well Below State Expectations"
"64232","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"64233","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","English Language Arts","Below or Well Below State Expectations"
"64234","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Science","Well Below State Expectations"
"64235","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"64236","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Science","Well Below State Expectations"
"64402","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"64403","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Science","Well Below State Expectations"
"64404","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"64405","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"64406","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Science","Well Below State Expectations"
"64407","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Science","Well Below State Expectations"
"64408","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Science","Well Below State Expectations"
"64409","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Science","Well Below State Expectations"
"64410","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"64411","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Science","Well Below State Expectations"
"64412","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Science","Below State Expectations"
"64413","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Science","Below State Expectations"
"64414","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Science","Below State Expectations"
"64415","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Science","Below State Expectations"
"64416","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Science","Below State Expectations"
"64417","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Science","Below State Expectations"
"64418","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Science","Below State Expectations"
"64419","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Science","Below State Expectations"
"64420","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Science","Below State Expectations"
"64421","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Science","Below State Expectations"
"64422","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Science","Below State Expectations"
"64423","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Science","Below State Expectations"
"64424","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Science","Below State Expectations"
"64425","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Science","At State Expectations"
"64644","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Science","At State Expectations"
"64645","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Science","At State Expectations"
"64646","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Science","At State Expectations"
"64647","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Science","At State Expectations"
"64648","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Science","At State Expectations"
"64649","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Science","At State Expectations"
"64650","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Science","At State Expectations"
"64651","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Science","At State Expectations"
"64652","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Science","At State Expectations"
"64653","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Science","At State Expectations"
"64654","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Science","At State Expectations"
"64655","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Science","At State Expectations"
"64656","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Science","Above State Expectations"
"64657","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Science","Above State Expectations"
"64658","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Science","Above State Expectations"
"64659","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Science","Above State Expectations"
"64660","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Science","Above State Expectations"
"64661","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Science","Above State Expectations"
"64662","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Science","Above State Expectations"
"64663","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Science","Above State Expectations"
"64664","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Science","Above State Expectations"
"64665","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Science","Above State Expectations"
"64666","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Science","Above State Expectations"
"64667","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Science","Above State Expectations"
"64668","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Science","Above State Expectations"
"64669","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Science","At or Above State Expectations"
"64877","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"64878","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Science","At or Above State Expectations"
"64879","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"64880","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Science","At or Above State Expectations"
"64881","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"64882","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"64883","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Science","At or Above State Expectations"
"64884","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Science","At or Above State Expectations"
"64885","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Science","At or Above State Expectations"
"64886","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Science","At or Above State Expectations"
"64887","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"64888","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Science","At or Above State Expectations"
"64889","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Science","Below or Well Below State Expectations"
"64890","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"64891","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Science","Below or Well Below State Expectations"
